symbol,entry_date,entry_price,exit_date,exit_price,quantity,exit_reason,pnl,r_multiple
ASELS,2020-03-26 00:00:00+00:00,5.698599980228015,2020-03-27 00:00:00+00:00,5.897091166722132,1261,SIGNAL_EXIT,235.67521963277795,0.3099594213006843
SISE,2020-08-27 00:00:00+00:00,5.697907914009982,2020-09-01 00:00:00+00:00,5.466690377835161,2060,SIGNAL_EXIT,-499.30719700132977,-0.5581424639325375
TOASO,2020-09-01 00:00:00+00:00,14.76751895063873,2020-09-02 00:00:00+00:00,14.687132779800411,859,SIGNAL_EXIT,-94.35326658656231,-0.11084538288334565
ASELS,2020-09-25 00:00:00+00:00,8.346295092425317,2020-09-29 00:00:00+00:00,8.941757280070362,2275,TARGET,1315.3461577450544,1.4486340395298853
SISE,2020-11-03 00:00:00+00:00,5.779177952778207,2020-11-04 00:00:00+00:00,5.782422420728447,2442,SIGNAL_EXIT,-20.310437377618655,-0.022485361521800064
TUPRS,2021-02-10 00:00:00+00:00,9.626216842327967,2021-02-18 00:00:00+00:00,9.450950619048843,1867,SIGNAL_EXIT,-362.8391105125156,-0.42256518193411274
TCELL,2021-04-07 00:00:00+00:00,12.842666427874349,2021-04-08 00:00:00+00:00,12.485516250470102,1207,SIGNAL_EXIT,-461.6513806196872,-0.5641106987383557
THYAO,2021-05-05 00:00:00+00:00,12.393084718653702,2021-05-31 00:00:00+00:00,12.751729118453383,1159,SIGNAL_EXIT,386.5260201306246,0.4641374384198441
SISE,2021-07-30 00:00:00+00:00,7.025442657722645,2021-08-02 00:00:00+00:00,7.046051899631277,3591,SIGNAL_EXIT,23.477050738438265,0.04325995259838685
TCELL,2021-08-09 00:00:00+00:00,13.283500970217334,2021-08-10 00:00:00+00:00,13.244338763288788,1910,SIGNAL_EXIT,-125.46798912451777,-0.19157114949023338
THYAO,2021-08-25 00:00:00+00:00,12.500595482836435,2021-08-26 00:00:00+00:00,12.400225587035738,1896,SIGNAL_EXIT,-237.51327918659808,-0.3233355688211154
SISE,2021-10-01 00:00:00+00:00,7.4956491730695465,2021-10-04 00:00:00+00:00,7.552630281838454,3348,SIGNAL_EXIT,140.3911125432678,0.2487131771031775
ARCLK,2022-06-29 00:00:00+00:00,76.41733997224506,2022-06-29 00:00:00+00:00,72.32321046377699,191,STOP,-810.3881812506806,-1.0455698700130105
THYAO,2023-01-13 00:00:00+00:00,131.94531164916248,2023-01-19 00:00:00+00:00,151.31102700517573,80,TARGET,1526.5967213887125,2.2164383180891982
AKBNK,2023-01-24 00:00:00+00:00,15.343011863448291,2023-01-25 00:00:00+00:00,14.087989559052218,638,STOP,-819.4812091122512,-1.0292301738582308
ARCLK,2023-01-17 00:00:00+00:00,102.47988571856013,2023-01-30 00:00:00+00:00,111.80955038890694,65,SIGNAL_EXIT,592.4993902255583,0.815387639583915
ARCLK,2023-05-12 00:00:00+00:00,99.82445421642727,2023-05-12 00:00:00+00:00,92.4255823313591,105,STOP,-797.0678017696755,-1.0324354349172409
SISE,2023-05-12 00:00:00+00:00,38.17177816495308,2023-05-15 00:00:00+00:00,34.47054834032252,332,SIGNAL_EXIT,-1252.925554177098,-1.5070046285346728
TUPRS,2023-05-15 00:00:00+00:00,45.11974168036472,2023-05-15 00:00:00+00:00,45.672597212494075,211,STOP,97.49533377290027,-0.802606533048141
SAHOL,2024-04-04 00:00:00+00:00,75.37916883566211,2024-04-26 00:00:00+00:00,83.69485399357353,170,TARGET,1386.6238929639694,1.6871587240040868
TOASO,2025-09-10 00:00:00+00:00,221.83285603615687,2025-09-16 00:00:00+00:00,244.72493821658952,65,TARGET,1457.6590851016936,1.931182985390741
ASELS,2025-11-18 00:00:00+00:00,188.15441929303628,2025-11-19 00:00:00+00:00,187.86652624141686,65,SIGNAL_EXIT,-43.15440981500069,-0.056440298296950527
TCELL,2026-03-24 00:00:00+00:00,107.55375,2026-03-25 00:00:00+00:00,107.64614694976807,123,SIGNAL_EXIT,-15.104762503349775,-0.022804433292376438
ASELS,2026-06-02 00:00:00+00:00,385.1925,2026-06-04 00:00:00+00:00,388.30575000000005,35,SIGNAL_EXIT,81.89131125000313,0.10185353265734902
TCELL,2026-06-03 00:00:00+00:00,107.55375,2026-06-04 00:00:00+00:00,106.54669847488404,146,SIGNAL_EXIT,-178.28818814426268,-0.2810651554795531
KCHOL,2026-06-15 00:00:00+00:00,196.09799999999998,2026-06-24 00:00:00+00:00,191.904,91,SIGNAL_EXIT,-416.9621819999993,-0.27005441782505224
